fbus,tbus,rateA
40006,40007,0
10001,10022,99999
10001,10228,99999
10022,10093,99999
10022,10033,99999
10022,11016,99999
10022,10025,99999
10022,10525,99999
10022,10228,99999
10022,10558,99999
10022,10750,99999
10022,10570,99999
10022,13504,99999
10025,10093,99999
10025,10033,99999
10025,11016,99999
10025,10525,99999
10025,10228,99999
10025,10558,99999
10025,10750,99999
10025,13504,99999
10033,10093,99999
10033,10035,99999
10033,11016,99999
10033,10228,99999
10033,10750,99999
10033,13504,99999
10035,10093,99999
10035,13504,99999
10093,21647,99999
10093,21121,99999
10093,13446,99999
10093,20136,99999
10093,13000,99999
10093,20007,99999
10093,13366,99999
10093,11016,99999
10093,10600,99999
10093,10677,99999
10093,10228,99999
10093,10558,99999
10093,10750,99999
10093,10570,99999
10093,13504,99999
10228,74235,99999
10228,11016,99999
10228,10600,99999
10228,74053,99999
10228,10677,99999
10228,10525,99999
10228,10558,99999
10228,10750,99999
10228,10570,99999
10228,13504,99999
10525,11016,99999
10525,10558,99999
10525,10750,99999
10525,13504,99999
10558,74235,99999
10558,11016,99999
10558,10600,99999
10558,10677,99999
10558,10750,99999
10558,10570,99999
10558,13504,99999
10570,74235,99999
10570,11016,99999
10570,10600,99999
10570,10677,99999
10570,10750,99999
10570,13504,99999
10600,13446,99999
10600,11016,99999
10600,10677,99999
10600,10750,99999
10600,13504,99999
10677,74235,99999
10677,74132,99999
10677,13446,99999
10677,77173,99999
10677,74001,99999
10677,11016,99999
10677,10750,99999
10677,13504,99999
10750,74235,99999
10750,13446,99999
10750,11016,99999
10750,74053,99999
10750,13504,99999
11016,74235,99999
11016,13446,99999
11016,74053,99999
11016,13504,99999
13000,20000,99999
13000,20007,99999
13000,13504,99999
13366,21647,99999
13366,21121,99999
13366,20136,99999
13366,30001,99999
13366,20007,99999
13366,13504,99999
13420,74001,99999
13420,13504,99999
13446,74235,99999
13446,74001,99999
13446,13504,99999
13504,23060,99999
13504,23054,99999
13504,23017,99999
13504,21647,99999
13504,74235,99999
13504,21121,99999
13504,20026,99999
13504,20136,99999
13504,74001,99999
13504,25289,99999
13504,30001,99999
13504,20007,99999
13504,23377,99999
20000,20007,99999
20007,21647,99999
20007,21121,99999
20007,20136,99999
20026,23054,99999
20026,21647,99999
20026,21121,99999
20026,20136,99999
20026,30001,99999
20026,23377,99999
20136,23060,99999
20136,23054,99999
20136,23017,99999
20136,21647,99999
20136,21121,99999
20136,25830,99999
20136,25289,99999
20136,30001,99999
20136,26133,99999
20136,23377,99999
21121,23060,99999
21121,23054,99999
21121,23017,99999
21121,21647,99999
21121,25289,99999
21121,30001,99999
21121,26133,99999
21121,23377,99999
21647,23060,99999
21647,23054,99999
21647,23017,99999
21647,25830,99999
21647,25289,99999
21647,30001,99999
21647,26133,99999
21647,23377,99999
23017,23060,99999
23017,23054,99999
23017,25830,99999
23017,25289,99999
23017,30001,99999
23017,26133,99999
23017,23377,99999
23054,23060,99999
23054,25830,99999
23054,25289,99999
23054,30001,99999
23054,26133,99999
23054,23377,99999
23060,25289,99999
23060,30001,99999
23060,26133,99999
23060,23377,99999
23263,30220,99999
23263,30207,99999
23263,30144,99999
23263,30374,99999
23377,28099,99999
23377,28078,99999
23377,25830,99999
23377,25714,99999
23377,25618,99999
23377,25598,99999
23377,25403,99999
23377,25439,99999
23377,25289,99999
23377,30001,99999
23377,26100,99999
23377,26133,99999
25160,28099,99999
25160,28078,99999
25160,25375,99999
25160,25675,99999
25160,25830,99999
25160,25714,99999
25160,25618,99999
25160,25598,99999
25160,25403,99999
25160,25439,99999
25160,25289,99999
25160,26100,99999
25160,26133,99999
25289,28667,99999
25289,28549,99999
25289,28365,99999
25289,28122,99999
25289,28099,99999
25289,28078,99999
25289,40787,99999
25289,40004,99999
25289,25375,99999
25289,25675,99999
25289,25830,99999
25289,25714,99999
25289,25618,99999
25289,25598,99999
25289,25403,99999
25289,25439,99999
25289,30001,99999
25289,30220,99999
25289,30207,99999
25289,30144,99999
25289,30374,99999
25289,26100,99999
25289,26133,99999
25289,40844,99999
25375,28549,99999
25375,28365,99999
25375,28099,99999
25375,28078,99999
25375,25675,99999
25375,25830,99999
25375,25714,99999
25375,25618,99999
25375,25598,99999
25375,25403,99999
25375,25439,99999
25375,26100,99999
25375,26133,99999
25403,28667,99999
25403,28549,99999
25403,28365,99999
25403,28099,99999
25403,28078,99999
25403,25675,99999
25403,25830,99999
25403,25714,99999
25403,25618,99999
25403,25598,99999
25403,25439,99999
25403,26100,99999
25403,26133,99999
25439,28667,99999
25439,28549,99999
25439,28365,99999
25439,28099,99999
25439,28078,99999
25439,25675,99999
25439,25830,99999
25439,25714,99999
25439,25618,99999
25439,25598,99999
25439,26100,99999
25439,26133,99999
25598,28667,99999
25598,28549,99999
25598,28365,99999
25598,28122,99999
25598,28099,99999
25598,28078,99999
25598,25675,99999
25598,25830,99999
25598,25714,99999
25598,25618,99999
25598,26100,99999
25598,26133,99999
25618,28099,99999
25618,28078,99999
25618,25675,99999
25618,25830,99999
25618,25714,99999
25618,26100,99999
25618,26133,99999
25675,28099,99999
